IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.199.220,2053,true,SIN,Asia Pacific,Singapore,228 ms,4945 kB/s
47.237.94.140,2087,true,SIN,Asia Pacific,Singapore,222 ms,4940 kB/s
8.222.183.242,8443,true,SIN,Asia Pacific,Singapore,214 ms,4937 kB/s
47.236.237.90,2096,true,SIN,Asia Pacific,Singapore,227 ms,4931 kB/s
47.236.180.24,2096,true,SIN,Asia Pacific,Singapore,218 ms,4926 kB/s
47.236.164.215,2053,true,SIN,Asia Pacific,Singapore,219 ms,4921 kB/s
8.219.77.222,2053,true,SIN,Asia Pacific,Singapore,218 ms,4911 kB/s
8.222.193.65,443,true,SIN,Asia Pacific,Singapore,214 ms,4881 kB/s
8.219.86.200,8443,true,SIN,Asia Pacific,Singapore,221 ms,4839 kB/s
47.236.253.41,2096,true,SIN,Asia Pacific,Singapore,217 ms,4833 kB/s
47.236.253.41,2087,true,SIN,Asia Pacific,Singapore,230 ms,4830 kB/s
8.219.177.205,8443,true,SIN,Asia Pacific,Singapore,215 ms,4817 kB/s
47.237.84.173,8443,true,SIN,Asia Pacific,Singapore,229 ms,4815 kB/s
8.222.156.242,8443,true,SIN,Asia Pacific,Singapore,217 ms,4782 kB/s
47.245.96.80,8443,true,SIN,Asia Pacific,Singapore,228 ms,4762 kB/s
47.237.10.1,2083,true,SIN,Asia Pacific,Singapore,226 ms,4725 kB/s
8.219.114.201,2087,true,SIN,Asia Pacific,Singapore,217 ms,4714 kB/s
47.236.164.215,2083,true,SIN,Asia Pacific,Singapore,231 ms,4711 kB/s
47.236.253.41,8443,true,SIN,Asia Pacific,Singapore,232 ms,4711 kB/s
47.236.253.41,2083,true,SIN,Asia Pacific,Singapore,219 ms,4694 kB/s
47.236.180.51,2087,true,SIN,Asia Pacific,Singapore,225 ms,4690 kB/s
47.236.232.148,8443,true,SIN,Asia Pacific,Singapore,232 ms,4686 kB/s
8.219.122.55,2096,true,SIN,Asia Pacific,Singapore,220 ms,4684 kB/s
8.219.111.147,2087,true,SIN,Asia Pacific,Singapore,227 ms,4677 kB/s
47.245.96.80,2096,true,SIN,Asia Pacific,Singapore,231 ms,4645 kB/s
47.243.27.217,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,4630 kB/s
47.236.80.110,8443,true,SIN,Asia Pacific,Singapore,215 ms,4603 kB/s
47.236.117.48,443,true,SIN,Asia Pacific,Singapore,216 ms,4595 kB/s
8.219.122.55,8443,true,SIN,Asia Pacific,Singapore,221 ms,4587 kB/s
47.242.176.237,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,4578 kB/s
8.219.122.55,2083,true,SIN,Asia Pacific,Singapore,224 ms,4561 kB/s
